0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:45:30 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:45:30 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:49:58 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 2291
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:49:59 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:54:45 +0900] "GET /WebProjectEx1/day0420/ShopToJson.jsp HTTP/1.1" 200 1039
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:54:54 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:54:54 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:54:57 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=13 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:54:58 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=13 HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:55:00 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=12 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:55:00 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=12 HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:55:05 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=11 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:55:05 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=11 HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:55:08 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=6 HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:55:08 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=6 HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:55:10 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=8 HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:55:11 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=8 HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:55:26 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=9 HTTP/1.1" 200 2359
0:0:0:0:0:0:0:1 - - [21/Apr/2022:14:55:26 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=9 HTTP/1.1" 200 140
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:04:10 +0900] "GET /WebProjectEx1/day0420/ShopDetailPage.jsp?num=10 HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:04:10 +0900] "GET /WebProjectEx1/day0420/DetailJson.jsp?num=10 HTTP/1.1" 200 133
